Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,5369.10978590681,4000.91677428625,2321.15204123035,2447.50319141761,3237.92646315285,4929.05772183424,5299.6410536193,5331.02343858808,5712.58985659548,5269.03394637289,4953.65158789022,5364.83824691607,6219.58164143945,8190.11135193887,9718.97322801967,10443.5278353294,11501.2099669894,13755.8321073292,15888.0606949392,14474.6519774194,13729.7654965022,14691.558296292,13507.7805260991,14134.9474982889,14186.7295493276,12283.7840620053,12820.1653893008,13901.7878144679,15460.3669595491,15563.5987295029,14807.5608543265,17788.7865816658,18465.5414420364,22184.2279304842,24050.4397933135
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2694.31697957692,2268.83493247194,2047.67900346421,2063.20366253587,2613.28971869122,2785.24442954103,2282.18809324202,2306.42483397336,2332.30656133119,2561.77980406838,2751.3817714814,2842.96704310394,3005.21104247868,3202.78109865637,3399.21962893402,3786.33799225291,4329.98265964383,4807.43888960684,4986.12436479175,5089.23519757167,5272.26755824835,6104.46105236166,6470.83673392653,6828.36428245396,7146.70459051328,7727.91997207998,8110.55874283616,8610.60829605429,8911.46205998726,9232.26115935183,9605.27914559614,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,15841.2612359949,16609.8454536485,16723.6925253468,16695.7351137757,16671.3403391655,17032.3356620744,17400.1637780186,18005.7165850772,19423.3352430175,19540.2476579348,19847.2310127979,19426.3264002202,19809.8223170482,19721.292182955,19623.0300713664,19361.8129630226,18944.0962772875,18938.2440965187,19119.1244887029,19220.6865793075,16299.8134349902,17795.5826616182,20057.1404747175,21217.8110321785,22832.8953958667
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,9641.5751953125,9696.099609375,11310.072265625,10526.1416015625,11617.6923828125,15261.4169921875,15139.220703125,14234.2412109375,15092.828125,15287.91796875,14388.3525390625,14821.44921875,16093.2158203125,20252.24609375,23792.619140625,24959.26171875,26729.28125,31244.87890625,35397.296875,32236.44921875,31105.02734375,32485.798828125,28991.935546875,27764.73046875,26993.103515625,23088.44140625,24280.056640625,26247.44921875,29120.375,29227.173828125,28130.341796875,32937.83984375,33231.04296875,36623.69140625,38674.29296875
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,3969.36733543794,2917.08655474323,3396.70972430469,3984.1463439879,4663.28665345469,5865.29460556726,6573.19643136362,6069.38762357837,6526.59635780951,6377.6211077224,6062.92152842793,6669.07494847497,8101.26018588111,9852.45677945801,11782.5546676117,13442.4916284309,15259.0788162004,18452.6532812196,22774.7045076205,19817.4215836554,20160.4355077059,22049.1080788682,20014.0354015165,20260.4954999375,20038.4163180257,17931.5987670768,18753.9686718096,20913.197632212,23705.9329811299,24062.7190013343,23472.8915454417,27696.4619527544,28282.2236715857,31761.5944102491,31823.3078290564
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26885.6994188191,27002.8057705804,29579.4913648682,27581.7241097459,29967.8303903163,35321.0980773087,35621.9878051732,32779.879045297,33346.4884298957,33426.2381077405,30722.0251837567,30768.4775471112,33257.1622586509,40519.0974905924,46625.050098011,48925.8076698784,52119.1787984282,58631.6566433635,64616.6657583663,58412.7472358513,58104.5445594981,61809.737898222,58443.7747103968,61377.5940590412,62520.4509747011,53094.0133607574,54500.9260410217,57521.5514992225,61324.7665045565,59404.2663247723,60985.4885601514,69340.7334922138,67781.0940939514,68043.5466971243,71026.4832271897
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,780.497719360725,732.733101553782,763.659214503152,758.733842733535,784.556207408331,786.201866748458,761.943659476655,748.232840194914,735.349107889529,740.21930978973,737.612183644052,742.133791107063,743.013270420348,764.634465224597,806.261652944964,844.4483573908,898.464628136774,969.573220191902,1119.15233346969,1150.9375857489,1213.23352553429,1306.34552844977,1400.19357858954,2075.94498424748,2214.62084142432,2376.12554719873,2510.4300076241,2618.95521147369,2718.08338799203,2837.16902340932,2844.88810647853,3025.91126413549,3133.25779772463,3381.29779710722,3552.72335079222
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,2892.9815966454,3171.36577815405,3376.26050139573,3536.15609185727,3805.20278759984,3951.72267086358,4210.99532034556,4372.19712966838,4664.24268142919,4817.18105502046,4867.39896323759,5527.51527300496,5488.02784969357,5447.44011496284,5778.83306546506,5695.22442394675,6055.78109574854,6459.03503689609,6971.32633839289,7487.49010395154,7549.61964680375,7705.40717248319,7528.51001990155,7822.21797211398,8131.74876096735,8282.59874702141,8802.56172041363,8224.64896571414,9215.3085405645,9491.14995962374,7827.74842680426,8376.40414141113,9323.66089490562,9912.96212766668,10405.2787777582
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,989.163941207659,1345.84673690623,1558.29782071075,1722.41995993981,1891.67055679,2109.16940728689,2270.86558687203,2448.89393535363,2607.85457321405,2620.8896817272,2831.45883638033,2935.89367312668,3065.60329524196,2383.26171780393,2451.69161616569,3878.31206735244,4055.14270347371,4649.64558875814,5023.58513403515,4973.95186999952,5478.62470398954,5826.51014109195,6013.81965002603,6136.59429329301,6496.45166971142,6800.95309395474,7160.44200982307,7412.71571571512,7882.98221584944,8183.01623600375,7135.22273255899,8527.0754858205,10104.2449349081,10630.431743829,10875.6618443092
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,1455.00748510871,1587.36049996672,1655.44613192632,1697.88884141445,1996.85894789444,2108.00698245316,2135.8479374308,2340.76600026857,2284.01572847769,1575.30234730971,1382.23421759909,1791.30359685037,2059.1585535974,2315.62215223014,2586.20914663347,2909.02606014388,3243.67010359339,3478.92488770671,4194.75750661981,4053.36331139298,4520.30959039763,5153.6916424375,5634.08393191094,6109.29031510341,6405.79979300441,5976.1596805651,5917.63771271481,6233.32244797718,6303.91886658338,6205.05765246766,5463.64515348598,6061.32350181711,6515.58528418336,6737.84748379638,6874.705739766
