Country Code,year,projects_total,projects_with_amount,usd_const_2021_sum,share_amount_estimated,amount_coverage,log1p_usd_const_2021,cumulative_inv,treat_year,treat_500m,post_500m,rel_time
MOZ,2009,5,4,172055251.02987742,0.0,0.8,18.963326215925385,645459684.8963734,2009.0,1,1,0.0
MOZ,2010,7,3,120518141.39222568,0.0,0.4285714285714285,18.607310858833657,765977826.288599,2009.0,1,1,1.0
MOZ,2011,4,3,105049153.16689758,0.0,0.75,18.469938933503663,871026979.4554967,2009.0,1,1,2.0
MOZ,2012,10,8,1424739529.681136,0.0,0.8,21.0772548484728,2295766509.1366324,2009.0,1,1,3.0
MOZ,2013,7,5,229714043.44584957,0.0,0.7142857142857143,19.252345808349403,2525480552.5824823,2009.0,1,1,4.0
MOZ,2014,7,5,737568597.9823763,0.0,0.7142857142857143,20.418869657421894,3263049150.5648584,2009.0,1,1,5.0
MOZ,2015,2,2,7161754.146357825,0.0,1.0,15.784265641069728,3270210904.7112164,2009.0,1,1,6.0
MOZ,2016,6,3,22924879.2258834,0.0,0.5,16.947733351486104,3293135783.9371,2009.0,1,1,7.0
MOZ,2017,17,14,2412900945.062848,0.1764705882352941,0.8235294117647058,21.604095572627724,5706036728.9999485,2009.0,1,1,8.0
MOZ,2018,5,4,22450904.806300707,0.0,0.8,16.926841519057998,5728487633.806249,2009.0,1,1,9.0
MOZ,2019,6,3,41571890.65369906,0.0,0.5,17.54293481545447,5770059524.459948,2009.0,1,1,10.0
MOZ,2020,16,10,323594093.8855596,0.4375,0.625,19.595000494791627,6093653618.345508,2009.0,1,1,11.0
MOZ,2021,11,7,28849202.0,0.3636363636363636,0.6363636363636364,17.177592924886874,6122502820.345508,2009.0,1,1,12.0
MRT,2002,2,1,1509876.26422349,0.0,0.5,14.22753892351635,1509876.26422349,2009.0,1,0,-7.0
MRT,2003,1,0,,0.0,0.0,0.0,,2009.0,1,0,-6.0
MRT,2004,2,1,1138826.06094331,0.0,0.5,13.945509396786612,2648702.3251668,2009.0,1,0,-5.0
MRT,2005,2,0,,0.0,0.0,0.0,,2009.0,1,0,-4.0
MRT,2006,2,1,764621.193845144,0.0,0.5,13.54713712656284,3413323.5190119436,2009.0,1,0,-3.0
MRT,2007,4,1,102558069.824393,0.0,0.25,18.445939740745143,105971393.34340495,2009.0,1,0,-2.0
MRT,2008,2,0,,0.0,0.0,0.0,,2009.0,1,0,-1.0
MRT,2009,5,4,462172675.0194398,0.0,0.8,19.95144913683387,568144068.3628447,2009.0,1,1,0.0
MRT,2010,8,3,152870776.5912756,0.0,0.375,18.84510353158216,721014844.9541204,2009.0,1,1,1.0
MRT,2011,9,5,85612354.19479758,0.0,0.5555555555555556,18.265340167084297,806627199.1489179,2009.0,1,1,2.0
MRT,2012,6,1,1822341.95224546,0.0,0.1666666666666666,14.415633567544534,808449541.1011634,2009.0,1,1,3.0
MRT,2013,6,4,255983281.2876804,0.1666666666666666,0.6666666666666666,19.36062269674772,1064432822.3888438,2009.0,1,1,4.0
