Country Code,year,projects,usd_const_2021,share_amount_estimated,log1p_usd_const_2021
PHL,2012,3,385354.396452609,0.0,12.861921295137172
PHL,2013,5,75551786.24982718,0.0,18.140328902919787
PHL,2014,2,0.0,0.0,0.0
PHL,2015,3,19725.2787736664,0.0,9.88970697370985
PHL,2016,14,2271254302.048474,0.0,21.54359807224566
PHL,2017,19,759152177.9537225,0.05263157894736842,20.447712814542875
PHL,2018,24,479877160.44886553,0.0,19.98904071546653
PHL,2019,26,1209659502.26042,0.038461538461538464,20.9136047546899
PHL,2020,33,14608363.312346574,0.36363636363636365,16.497104820741026
PHL,2021,44,519791648.6632839,0.22727272727272727,20.06893861552413
PNG,2000,4,43521843.48576611,0.0,17.588773542099283
PNG,2001,5,2152289.3378031217,0.0,14.58204310649958
PNG,2002,9,48635731.841700174,0.0,17.699869062367902
PNG,2003,4,82358.50117733183,0.0,11.318849104510123
PNG,2004,9,30297800.539479863,0.0,17.226585711394442
PNG,2005,7,4034394.084385744,0.0,15.210366931318802
PNG,2006,7,8079484.521036874,0.0,15.904838755331056
PNG,2007,5,36345140.5342588,0.0,17.40857109508118
PNG,2008,10,1582324640.5804946,0.0,21.182160894835025
PNG,2009,9,2855703985.4378614,0.0,21.772584229846878
PNG,2010,5,218635281.88815197,0.0,19.202915524562435
PNG,2011,8,520935962.28345466,0.0,20.07113768099925
PNG,2012,3,882940.915560235,0.0,13.69101469662996
PNG,2013,7,253458811.62563643,0.0,19.350711892945483
PNG,2014,10,358866125.01898235,0.0,19.698459968879945
PNG,2015,2,1627572.63130847,0.0,14.302600894012885
PNG,2016,4,271464848.9126849,0.0,19.419343222705166
PNG,2017,7,636714731.974868,0.0,20.271832284306264
PNG,2018,13,193101306.82730788,0.0,19.07872552017388
PNG,2019,8,1096551.8914569751,0.0,13.9076820822996
PNG,2020,19,900867.530213732,0.21052631578947367,13.711114610531723
PNG,2021,10,81528666.17074138,0.2,18.216465260789796
PRK,2000,7,469837424.298914,0.0,19.96789728921059
PRK,2001,6,349260280.8231945,0.0,19.671327995390826
PRK,2002,7,362679885.5433207,0.0,19.709031147913475
PRK,2003,7,360447952.91424716,0.14285714285714285,19.70285813232281
PRK,2004,9,479186917.2215209,0.0,19.987601305189045
PRK,2005,8,549934072.1194004,0.0,20.125308961950527
PRK,2006,8,566831136.5923634,0.0,20.15557200003823
PRK,2007,11,635789768.1281793,0.0,20.270378514974894
PRK,2008,6,577243310.5581871,0.0,20.173774419398427
PRK,2009,6,473858306.4306942,0.0,19.97641890549992
PRK,2010,9,920821576.123078,0.0,20.64077684811551
PRK,2011,8,642168288.0455283,0.25,20.280360959773194
PRK,2012,12,657789439.4842403,0.0,20.30439543881483
PRK,2013,4,488691040.8383707,0.25,20.007241031477676
PRK,2014,6,425037022.25739413,0.0,19.867686836641337
PRK,2015,3,224607280.54837492,0.0,19.229864019816006
PRK,2016,4,284901679.5111067,0.25,19.467654698050623
PRK,2017,1,214544622.750478,0.0,19.184028310828594
PRK,2018,6,333541948.9935378,0.0,19.62527920249649
PRK,2019,3,233716607.47279,0.0,19.269619864475526
PRK,2020,4,596667934.851462,0.75,20.206871295254057
PRY,2015,3,72947912.02263185,0.0,18.10525622419803
PRY,2018,1,3269549.24363603,0.0,15.000162993241451
PSE,2000,1,930045.002172153,0.0,13.74298932860734
PSE,2001,1,2514537.7674133,0.0,14.737599952018874
PSE,2002,1,6248637.25500912,0.0,15.647874118774922
PSE,2005,1,13243359.3367904,0.0,16.399006878143275
PSE,2008,6,19057324.024363123,0.0,16.76296210134436
PSE,2009,1,1502010.04827479,0.0,14.222315466988078
PSE,2011,1,6764340.99737702,0.0,15.72717554913239
PSE,2015,2,0.0,0.0,0.0
PSE,2016,3,9239061.43807806,0.0,16.038950970729196
PSE,2017,2,9587453.4664145,0.0,16.07596597538061
PSE,2018,6,3650996.6553935604,0.0,15.110511018455579
PSE,2019,4,3932476.142917469,0.0,15.18478010154357
PSE,2020,6,0.0,0.0,0.0
PSE,2021,4,4766894.8,0.5,15.377205875336774
PYF,2016,1,0.0,0.0,0.0
ROU,2000,1,1283228.36439764,0.0,14.0648903995589
ROU,2001,1,1518963.6675173,0.0,14.233539520950108
ROU,2002,1,1509876.26422349,0.0,14.22753892351635
ROU,2003,1,26379.8469088299,0.0,10.180393529957263
ROU,2004,2,291539471.601489,0.0,19.49068596659941
ROU,2005,1,1324335.93367904,0.0,14.096422464734827
ROU,2006,3,0.0,0.0,0.0
ROU,2009,2,1099325.78842508,0.0,13.910208539891059
ROU,2010,2,0.0,0.0,0.0
ROU,2011,1,0.0,0.0,0.0
ROU,2013,5,210138458.3708379,0.0,19.163277201756312
ROU,2014,1,63629286.0776798,0.0,17.96858441096076
ROU,2015,4,53545100.601016894,0.0,17.796034877303722
ROU,2016,1,0.0,0.0,0.0
ROU,2017,2,0.0,0.0,0.0
ROU,2018,1,0.0,0.0,0.0
ROU,2019,1,35953066.657215,1.0,17.39772496970682
ROU,2020,6,145980534.03074065,0.3333333333333333,18.798983849077224
ROU,2021,1,0.0,0.0,0.0
RUS,2002,1,499890980.40073,0.0,20.02990059541436
RUS,2003,4,762000737.9904052,0.0,20.45145808345413
RUS,2004,2,2979574.646551523,0.0,14.90729144785561
RUS,2005,10,14247165842.635487,0.6,23.379823835714266
RUS,2006,6,8330991249.552481,0.0,22.843248283710867
RUS,2007,11,76558699.49171841,0.09090909090909091,18.15356833124128
RUS,2008,3,55429588.1622251,0.3333333333333333,17.830624109537833
RUS,2009,11,40132797373.33282,0.18181818181818182,24.415459726603704
RUS,2010,14,2055636554.9401846,0.07142857142857142,21.443851396510613
RUS,2011,8,2602836211.8292356,0.375,21.6798675385163
RUS,2012,7,1915727444.2566607,0.5714285714285714,21.373363254422586
RUS,2013,15,43322819337.48122,0.26666666666666666,24.491945338643873
RUS,2014,10,3816748018.651302,0.1,22.062664593243866
RUS,2015,26,8416890349.055125,0.19230769230769232,22.853506279890702
RUS,2016,24,20570664775.751945,0.0,23.747131857869913
RUS,2017,21,4521948453.702299,0.19047619047619047,22.232208811954006
RUS,2018,7,2836291989.2342615,0.2857142857142857,21.765763398791137
RUS,2019,24,2076959649.1506236,0.0,21.454170954665944
RUS,2020,35,5480277574.246726,0.5142857142857142,22.42442158904083
RUS,2021,12,7541179590.58823,0.5,22.743644451237834
RWA,2000,1,0.0,0.0,0.0
RWA,2001,3,50748171.29426961,0.0,17.742386161331638
RWA,2002,2,27494003.922040097,0.0,17.129478536035823
RWA,2003,1,0.0,0.0,0.0
RWA,2004,2,0.0,0.0,0.0
RWA,2005,1,0.0,0.0,0.0
RWA,2006,6,68493575.51762944,0.0,18.042250525370182
RWA,2007,4,61523331.561084285,0.0,17.93492705206323
RWA,2008,5,2360924.686785612,0.0,14.674564340259124
RWA,2009,6,123356112.65013744,0.0,18.6305859631499
RWA,2010,1,2057480.16946535,0.0,14.536993059348273
RWA,2011,2,0.0,0.0,0.0
RWA,2012,9,205161759.11119366,0.0,19.13930929966083
RWA,2013,6,2593022.1346649793,0.0,14.768334986449755
RWA,2014,6,51616819.1017479,0.0,17.759358148298904
