Country Code,year,primary_enroll_gross_pct,secondary_enroll_gross_pct,birth_rate_crude_per_1000,usd_const_2021
MOZ,2012,113.200785284243,25.6446165136399,42.019,1424739529.681136
MOZ,2013,114.118825775581,34.4439086914062,41.554,229714043.4458496
MOZ,2014,114.277516463599,33.95458984375,40.792,737568597.9823763
MOZ,2015,114.82837357539,34.5285606384277,40.426,7161754.146357825
MOZ,2016,113.687876415561,,40.093,22924879.2258834
MOZ,2017,111.566194762496,37.2411918640137,39.755,2412900945.062848
MOZ,2018,115.270990181058,,39.448,22450904.806300707
MOZ,2019,117.86067127577,,39.117,41571890.65369906
MOZ,2020,118.980061431837,,38.736,323594093.8855596
MOZ,2021,,,38.403,28849202.0
SDN,2000,,,40.836,877009269.061062
SDN,2001,54.9207382202148,32.2981796264648,40.65,593254159.7574694
SDN,2002,55.170108795166,32.1063385009766,40.439,150178481.35246697
SDN,2003,56.535831451416,33.3529090881348,40.206,2897336938.3104258
SDN,2004,58.0592002868652,36.5913009643555,39.967,894585957.2716688
SDN,2005,59.3962097167969,36.3686599731445,39.612,1761123648.0592127
SDN,2006,63.7515182495117,34.6569290161133,39.187,913893015.6907444
SDN,2007,63.5354995727539,33.9691314697266,38.871,2239297836.136452
SDN,2008,68.9424591064453,35.8935012817383,38.392,284572816.198815
SDN,2009,68.2343368530273,39.4921493530273,38.084,2625899928.452481
SDN,2010,67.3397827148438,39.6667785644531,37.987,727717634.2794584
SDN,2011,64.9761810302734,35.2129783630371,37.317,259402662.08389625
SDN,2012,66.0605392456055,38.7272605895996,36.59,4111371560.777093
SDN,2013,66.95703125,40.9434089660645,36.015,84296.1890561751
SDN,2014,67.05712890625,42.046989440918,35.491,327782650.0393716
SDN,2015,67.6649703979492,42.5230712890625,35.683,3030144.03786317
SDN,2016,69.8550796508789,40.9556007385254,35.412,3609013.91875874
SDN,2017,70.3664779663086,43.0903282165527,35.023,95274351.7408534
SDN,2018,72.0317687988281,42.1366996765137,35.074,64566667.99561767
SDN,2019,72.3981094360352,43.5378608703613,34.909,29801225.8965137
SDN,2020,,,34.48,2546388.365443261
SDN,2021,,,33.913,4500000.0
TGO,2000,110.808746337891,31.6074600219727,37.948,0.0
TGO,2001,112.105476379395,34.4402694702148,37.903,73638128.933585
TGO,2002,113.691993713379,38.4870300292969,37.776,905925.758534097
TGO,2003,111.294708251953,40.5968894958496,37.528,7048813.92776272
TGO,2004,110.338851928711,41.9863700866699,37.14,40715211.734225474
TGO,2005,109.478187561035,44.2280082702637,37.434,18309497.11866749
TGO,2006,113.06999206543,46.0299682617188,37.661,77724403.67428
TGO,2007,107.236228942871,42.7597885131836,38.005,35257485.98877872
TGO,2008,107.988212585449,,37.953,23563770.48107817
TGO,2009,121.990951538086,,38.043,304635596.82320786
TGO,2010,124.709514209282,,37.91,58931840.98103994
TGO,2011,122.784071157596,52.7706298828125,37.105,74591063.23474814
TGO,2012,125.758046516929,,36.144,270740017.88015664
TGO,2013,126.10501578594,,35.414,275189.634633241
TGO,2014,122.304207926362,,34.996,220078757.8851476
TGO,2015,125.602691931749,,34.669,91343277.26442514
TGO,2016,121.476913528699,,34.409,171380451.34841055
TGO,2017,119.405694248485,60.769472220228,33.923,23874009.74354652
TGO,2018,117.836324490464,,33.413,666814.673886539
TGO,2019,117.747746676497,,32.925,1961404.400780967
TGO,2020,119.266830948762,,32.454,36855.62107878409
TGO,2021,116.971385859009,63.0669365853803,32.015,32472000.0
TZA,2000,69.492431640625,,41.528,11822598.712068103
TZA,2001,75.7181167602539,,41.398,206648925.8590032
TZA,2002,90.610237121582,,41.171,67401122.90108356
TZA,2003,96.8610763549805,,41.335,487212.748075707
TZA,2004,101.592483520508,,41.527,59209455.88123914
TZA,2005,105.037376403809,,41.465,589371.4117402625
TZA,2006,107.455772399902,,40.973,32447473.45240585
TZA,2007,108.751991271973,,40.168,8120160.65439219
TZA,2008,109.176727294922,,39.579,149260713.83217186
TZA,2009,103.463706970215,,39.162,17779625.127674684
TZA,2010,100.14820098877,31.8920497894287,38.756,243262749.6190252
TZA,2011,95.0884666333147,,38.108,88898640.28908274
TZA,2012,91.9735025482608,,38.102,1368217280.5781252
TZA,2013,88.8300914467545,32.3857446198788,38.408,198402325.98792657
TZA,2014,85.9364790514687,29.6310806274414,38.355,332483984.51040566
TZA,2015,84.2207717895508,26.090669631958,37.622,373987458.5778885
TZA,2016,85.2800976460579,25.6429992626308,37.632,5298914.736153074
TZA,2017,89.5967210005503,26.3711632016128,37.611,16642622.12624467
TZA,2018,94.9840282240997,28.5933897410534,37.335,297790640.66055024
TZA,2019,97.6456520812412,30.1824263288684,36.883,66807762.22724135
TZA,2020,98.5753622403869,30.9205938581875,36.437,56867617.21794729
TZA,2021,98.6999541804178,28.231330871582,36.015,156860873.63052374
