Country Code,year,primary_net_female,primary_net_male,primary_net_pct,secondary_net_female,secondary_net_male,secondary_net_pct,tertiary_gross_female,tertiary_gross_male,tertiary_gross_pct,secondary_gender_gap,tertiary_gender_gap
SRB,2015,96.28646,96.31723,96.30226,94.5781,93.03019,93.78182,66.8778915405273,50.1604690551758,58.2876892089844,1.5479100000000017,16.7174224853515
SRB,2016,95.75701,95.70492,95.73023,93.89724,92.37487,93.11418,70.8612670898438,53.9146499633789,62.1369705200195,1.5223699999999951,16.946617126464908
SRB,2017,95.21544,95.14166,95.17741,92.92801,92.01063,92.45639,76.8553085327148,56.727970123291,66.4867401123047,0.9173799999999943,20.1273384094238
SRB,2018,94.58089,94.52288,94.55098,92.5323,91.62383,92.06535,78.2528076171875,56.6962585449219,67.1586608886719,0.9084700000000083,21.556549072265597
SRB,2019,,,,,,,79.2840423583984,56.9651794433594,67.7898406982422,,22.31886291503899
SRB,2020,,,,,,,79.944580078125,56.992790222168,68.1431121826172,,22.951789855957003
SRB,2021,,,,,,,81.7816009521484,57.2523918151855,69.1800231933594,,24.529209136962898
SRB,2022,,,,,,,83.1921997070312,57.1338691711426,69.8046798706055,,26.058330535888594
SRB,2023,,,,,,,87.7373886108398,59.2957801818848,73.2060012817383,,28.441608428955
SSA,2000,56.547,63.70712,60.15395,18.96811,22.41829,20.69953,3.59588003158569,5.180419921875,4.38500022888184,-3.4501799999999996,-1.5845398902893102
SSA,2001,58.32576,65.25884,61.81827,19.6968,23.35455,21.53225,3.86701989173889,5.61300992965698,4.73776006698608,-3.65775,-1.74599003791809
SSA,2002,59.83147,66.76107,63.32185,20.46478,24.52033,22.50022,4.17353010177612,5.9982099533081,5.08449983596802,-4.05555,-1.8246798515319798
SSA,2003,62.38962,69.07963,65.75941,21.28134,25.51508,23.40669,4.44082021713257,6.49566984176636,5.4680700302124,-4.233740000000001,-2.05484962463379
SSA,2004,64.4125,70.56242,67.51068,22.37605,26.82411,24.60959,4.70373010635376,6.75400018692017,5.72931003570557,-4.448060000000002,-2.05027008056641
SSA,2005,66.64634,72.65142,69.6722,23.18581,27.83074,25.51868,4.99228000640869,7.11756992340088,6.05577993392944,-4.644929999999999,-2.12528991699219
SSA,2006,68.66341,74.1014,71.40384,23.88451,28.78221,26.34444,5.20080995559692,7.2863302230835,6.24442005157471,-4.8977,-2.0855202674865794
SSA,2007,70.66965,77.31073,74.01668,24.67609,29.8421,27.27121,5.34845018386841,7.49114990234375,6.42093992233276,-5.16601,-2.14269971847534
SSA,2008,72.03598,77.96276,75.02371,26.39413,31.40325,28.9109,5.58796977996826,7.91024017333984,6.75066995620728,-5.009119999999999,-2.3222703933715803
SSA,2009,72.41189,78.06574,75.26271,27.77462,32.6019,30.2005,5.94120979309082,8.33180046081543,7.13859987258911,-4.827280000000002,-2.3905906677246094
SSA,2010,,,,29.46311,33.92753,31.70727,6.29055023193359,8.87115955352783,7.58326005935669,-4.464419999999997,-2.58060932159424
SSA,2011,,,,29.95311,34.14694,32.06235,6.48831987380981,9.3444299697876,7.91976976394653,-4.193830000000002,-2.8561100959777894
SSA,2012,,,,30.45178,34.42672,32.45156,6.87975978851318,9.59352016448975,8.24044036865234,-3.9749400000000037,-2.7137603759765696
SSA,2013,,,,31.4582,35.2822,33.38244,7.20102977752685,9.91477966308594,8.56204032897949,-3.8240000000000016,-2.713749885559089
SSA,2014,,,,32.10849,35.90736,34.02056,7.33105993270874,10.1136999130249,8.72710990905762,-3.7988699999999938,-2.7826399803161603
SSA,2015,,,,32.91337,36.66352,34.80147,7.47834014892578,10.1834802627563,8.83637046813965,-3.750149999999998,-2.7051401138305193
SSA,2016,,,,33.28841,36.82146,35.06753,7.5500898361206,10.13148021698,8.84714984893799,-3.533050000000003,-2.5813903808594
SSA,2017,,,,33.6477,36.90465,35.28772,7.71750020980835,10.2353601455688,8.98270988464355,-3.2569499999999962,-2.51785993576045
SSA,2018,,,,33.97774,37.16256,35.58147,7.87877988815308,10.2718896865845,9.08168983459473,-3.184820000000002,-2.3931097984314196
SSA,2019,,,,,,,7.95792007446289,10.2187700271606,9.09453010559082,,-2.2608499526977104
SSA,2020,,,,,,,8.09739971160889,10.2856502532959,9.19779014587402,,-2.18825054168701
SSA,2021,,,,,,,8.20090007781982,10.3279895782471,9.27089023590088,,-2.12708950042728
SSD,2011,36.0286,50.59023,43.387,4.09431,6.04605,5.0784,,,,-1.95174,
SSD,2015,30.38834,39.91466,35.20717,4.49366,6.45559,5.48403,,,,-1.9619299999999997,
SSF,2000,56.54948,63.70885,60.15606,18.9741,22.42327,20.70502,3.59546995162964,5.17976999282837,4.38447999954224,-3.4491699999999987,-1.58430004119873
SSF,2001,58.32808,65.26051,61.82027,19.70322,23.35992,21.53815,3.86659002304077,5.61231994628906,4.7371997833252,-3.656699999999997,-1.7457299232482897
SSF,2002,59.83408,66.76322,63.32423,20.4707,24.5254,22.50571,4.1730899810791,5.99749994277954,5.08393001556396,-4.0547,-1.8244099617004403
SSF,2003,62.392,69.08168,65.76163,21.2874,25.52028,23.41232,4.44037008285522,6.4949197769165,5.46747016906738,-4.232879999999998,-2.05454969406128
SSF,2004,64.41467,70.56423,67.51267,22.38181,26.82885,24.61484,4.70325994491577,6.75323009490967,5.72870016098022,-4.447039999999998,-2.0499701499939
SSF,2005,66.64822,72.65304,69.67395,23.1918,27.83594,25.52428,4.99179983139038,7.11676979064941,6.05515003204346,-4.64414,-2.1249699592590297
SSF,2006,68.665,74.10277,71.40532,23.88964,28.78653,26.34918,5.20031976699829,7.28551006317139,6.24377012252808,-4.896889999999999,-2.0851902961731
SSF,2007,70.6711,77.31185,74.01797,24.6815,29.84663,27.27619,5.34794998168945,7.49032020568848,6.42028999328613,-5.165130000000001,-2.1423702239990305
SSF,2008,72.03732,77.9638,75.02489,26.39904,31.40719,28.91533,5.58747005462646,7.90936994552612,6.74998998641968,-5.0081500000000005,-2.32189989089966
SSF,2009,72.41319,78.06673,75.26385,27.77916,32.60563,30.20465,5.9407000541687,8.33090019226074,7.13790988922119,-4.826469999999997,-2.39020013809204
SSF,2010,,,,29.46706,33.93098,31.71098,6.29003000259399,8.87022972106934,7.58255004882812,-4.463919999999998,-2.58019971847535
SSF,2011,,,,29.9541,34.14778,32.06327,6.48812007904053,9.34358978271484,7.91926002502441,-4.193679999999997,-2.85546970367431
SSF,2012,,,,30.45422,34.42893,32.45388,6.87937021255493,9.59259033203125,8.23978996276855,-3.9747100000000017,-2.71322011947632
SSF,2013,,,,31.46142,35.28495,33.38542,7.20077991485596,9.91392993927002,8.56149959564209,-3.8235300000000016,-2.71315002441406
SSF,2014,,,,32.11148,35.91007,34.02342,7.33116006851196,10.1129398345947,8.72679042816162,-3.7985899999999972,-2.7817797660827397
SSF,2015,,,,32.91653,36.66622,34.8044,7.47914981842041,10.1831197738647,8.83660984039307,-3.749690000000001,-2.7039699554442898
SSF,2016,,,,33.29172,36.82409,35.0705,7.55111980438232,10.1313600540161,8.84762001037598,-3.5323700000000002,-2.580240249633781
SSF,2017,,,,33.6509,36.90711,35.29055,7.71869993209839,10.2351398468018,8.98320960998535,-3.256210000000003,-2.516439914703411
SSF,2018,,,,33.98075,37.16512,35.58426,7.87963008880615,10.2715902328491,9.08197975158691,-3.1843700000000013,-2.39196014404295
SSF,2019,,,,,,,7.95893001556396,10.2185297012329,9.09492015838623,,-2.259599685668939
SSF,2020,,,,,,,8.0980396270752,10.2852296829224,9.19791030883789,,-2.1871900558472
SSF,2021,,,,,,,8.20186996459961,10.327540397644,9.27116012573242,,-2.125670433044391
SST,2000,,,,50.51674,49.39854,49.94965,11.4806604385376,8.59284973144531,10.0239400863647,1.1182000000000016,2.8878107070922887
SST,2001,82.37982,82.91176,82.64908,51.16664,50.45241,50.80277,12.6435298919678,9.0101900100708,10.8100900650024,0.7142300000000006,3.6333398818969993
SST,2002,82.90284,83.36356,83.13594,52.52891,51.64261,52.07714,13.2306900024414,9.08232975006104,11.1305904388428,0.8863000000000056,4.148360252380359
SST,2003,,,,53.1705,52.38358,52.76738,14.1416101455688,9.78991985321045,11.9303302764893,0.786919999999995,4.3516902923583505
SST,2004,,,,54.72588,54.22056,54.46747,14.815239906311,10.372389793396,12.5509300231934,0.5053199999999975,4.442850112915
SST,2005,,,,55.48825,54.81673,55.1457,14.921480178833,10.454719543457,12.6359996795654,0.671520000000001,4.466760635376001
SST,2006,,,,55.72598,54.88348,55.29746,15.1344900131226,10.7655296325684,12.8919200897217,0.8425000000000011,4.368960380554199
SST,2007,,,,56.05392,55.64314,55.84291,16.2823600769043,11.4732999801636,13.8059597015381,0.4107799999999955,4.8090600967407
SST,2008,,,,56.32618,55.85496,56.08131,17.7864608764648,12.5396699905396,15.073920249939,0.4712200000000024,5.246790885925201
SST,2009,,,,57.11752,56.29246,56.69121,19.4195308685303,13.7769203186035,16.4898891448975,0.8250600000000006,5.642610549926799
SST,2010,,,,57.58918,56.604,57.08271,20.2158393859863,14.2511901855469,17.1129703521729,0.9851799999999997,5.9646492004394
SST,2011,,,,57.55182,56.60552,57.06738,20.9804592132568,14.9297800064087,17.8525390625,0.9463000000000008,6.0506792068481
SST,2012,,,,57.77065,56.96321,57.3443,22.2943096160889,15.4706201553345,18.7524394989014,0.8074400000000068,6.8236894607544
SST,2013,85.74335,84.80448,85.26705,57.79338,56.94212,57.34041,23.0183601379394,15.7504596710205,19.2426204681396,0.8512599999999964,7.267900466918899
SST,2014,85.85604,84.7858,85.31314,58.16581,57.25112,57.68301,23.4895095825195,16.1216907501221,19.6605091094971,0.9146900000000002,7.3678188323974005
