Country Code,year,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,log_gdp_pc_current_usd,population_total,percent_urban,birth_rate_crude_per_1000,female_emp_ratio,industry_emp_pct,unemployment_pct,youth_emp_ratio,youth_unemp_pct,gdp_growth,gni_per_capita,poverty_3day
CYP,2005,99.8711776733398,94.0052337646484,34.102180480957,10.125000243470188,1036151.0,68.4340674211981,11.702,49.87,24.047356206991,5.481,37.497,13.541,4.85298762175586,23990.0,0.1
CYP,2006,100.887046813965,93.1404724121094,34.3019485473633,10.193514919508441,1054418.0,68.2534151682801,12.023,51.314,22.6451002751583,4.593,37.93,9.872,4.71378358593959,25600.0,0.0
CYP,2007,100.688270568848,92.9139404296875,36.2316017150879,10.349610766735573,1072714.0,68.0604154001212,11.633,53.138,22.5194807137195,3.946,38.02,9.486,5.09822614854798,27340.0,0.0
CYP,2008,101.213508605957,92.3691635131836,40.8491706848145,10.474390736743057,1091026.0,67.8666261318649,11.987,53.627,23.0456745333635,3.756,38.387,8.532,3.64698922103939,31970.0,0.0
CYP,2009,102.179481506348,91.9261779785156,47.6964492797852,10.38085305466031,1109371.0,67.6836053786548,12.07,53.452,21.8218610979413,5.594,35.29,13.276,-2.01508203683694,32820.0,0.1
CYP,2010,101.624328613281,91.440803527832,48.311580657959,10.34512473602766,1127816.0,67.5229111556342,11.844,54.073,20.4026981594089,6.359,34.217,15.852,2.28267100119788,32170.0,0.1
CYP,2011,101.200538635254,92.8256225585938,46.5397300720215,10.388558313688751,1146493.0,67.3979892758544,11.344,53.066,20.8978634083986,7.942,30.91,21.156,0.416711868408683,32680.0,0.0
CYP,2012,100.175346374512,95.2998504638672,45.8635902404785,10.274772985705404,1165397.0,67.3010289148738,11.609,50.741,20.1704131049975,12.097,28.901,27.244,-3.44738151374587,29760.0,0.0
CYP,2013,99.7619781494141,98.3116912841797,47.5252418518066,10.231521806038097,1183895.0,67.2102333625375,11.027,48.563,17.5626082892042,16.131,24.047,38.083,-6.58747751118347,27820.0,0.1
CYP,2014,99.152717590332,99.4167327880859,53.1043510437012,10.203336687012634,1201801.0,67.1230558819804,11.141,49.975,16.5175316133335,16.277,26.094,35.516,-1.77605867728616,26350.0,0.1
CYP,2015,99.3001174926758,99.7783126831055,60.1012306213379,10.047087399258219,1219502.0,67.0402477918073,11.242,50.301,16.2251282188985,15.026,25.547,32.539,3.41892038889013,25650.0,0.0
CYP,2016,98.5455093383789,99.1193084716797,67.1711120605469,10.09741057798064,1237112.0,66.9625604106231,11.505,50.47,17.0502989714135,13.006,26.375,28.902,6.57359080924678,24400.0,0.1
CYP,2017,99.3066864013672,100.332550048828,75.9408111572266,10.175324090679158,1254275.0,66.8907450570326,11.158,52.227,17.0473444306083,11.155,27.431,25.013,5.75083236554525,24600.0,0.1
CYP,2018,99.7954406738281,100.253517150879,81.3370819091797,10.279193379974958,1270737.0,66.8255530496405,11.029,54.32,16.6609815709015,8.504,31.17,20.654,6.27166360056404,27120.0,0.1
CYP,2019,100.477699279785,100.850433349609,88.4853286743164,10.282854166059058,1286671.0,66.7677357070518,11.014,55.214,18.434753797149,7.155,32.306,16.856,5.87559583386607,28380.0,0.2
CYP,2020,100.735160827637,101.427406311035,92.9377593994141,10.244604052027752,1302247.0,66.7180443478713,11.142,54.433,19.5110999948772,7.755,31.456,18.491,-3.22063018637567,26780.0,0.0
CYP,2021,99.1028137207031,102.499496459961,96.5377883911133,10.402377423067302,1317309.0,66.6718365394971,11.236,54.755,17.9154535447166,7.513,34.864,17.173,11.3975590801512,29570.0,0.0
CYP,2022,97.0016403198242,104.005722045898,98.3045806884766,10.411239747216316,1331370.0,66.6694829407584,,56.451,17.1567876000681,6.806,34.478,18.707,8.27372597293814,31810.0,0.0
CYP,2023,98.5918273925781,102.400848388672,99.0216827392578,10.50845061615887,1344976.0,66.6739477522639,,58.817,16.1298941128752,5.835,35.305,16.22,3.61945644636856,32340.0,0.0
CZE,2000,103.40754699707,89.3995208740234,29.7583904266357,8.709947063290947,10255063.0,74.0038256456769,8.9,46.181,42.3439640382351,8.764,38.274,16.97,4.010669619984,6380.0,
CZE,2001,104.469627380371,94.5851364135742,32.0267791748047,8.805236440906985,10216605.0,73.9131752504002,8.9,46.209,41.9944114764308,8.128,35.987,16.557,2.9172195289956,6380.0,
CZE,2002,106.005058288574,95.2897491455078,36.8876609802246,8.99977490706329,10196916.0,73.8360067578753,9.1,46.352,41.5846210500349,7.28,33.666,15.982,1.51345949139996,6680.0,0.0
CZE,2003,106.409980773926,96.0471115112305,39.2078895568848,9.195476122300644,10193998.0,73.7649150201353,9.2,45.804,41.2791374177561,7.777,31.44,17.555,3.300836832613,8130.0,
CZE,2004,106.529113769531,95.4745712280273,45.4242782592773,9.374375298516526,10197101.0,73.6991647167017,9.6,45.545,41.139603388956,8.298,28.547,20.377,4.73633969683438,10280.0,0.0
CZE,2005,106.737777709961,96.0492401123047,49.1181411743164,9.506175985914876,10211216.0,73.6375545423198,10.0,45.693,41.0919344344861,7.927,27.356,19.248,6.37502886086791,12480.0,0.0
CZE,2006,104.372779846191,97.459716796875,49.8811302185059,9.632929937105501,10238905.0,73.578883191735,10.3,46.063,40.9661767451676,7.141,27.686,17.447,6.62317299177447,13990.0,0.1
CZE,2007,103.382110595703,97.7152786254883,54.1809005737305,9.822963448409306,10298828.0,73.5219493596925,11.1,46.399,40.8001370771343,5.316,28.496,10.734,5.48882595164517,15830.0,0.1
CZE,2008,102.214767456055,98.0813293457031,57.9171714782715,10.03340574762557,10384603.0,73.4655517409377,11.5,46.462,40.5255243206041,4.392,28.057,9.874,2.61226807205139,18480.0,0.1
CZE,2009,101.478927612305,97.9063034057617,61.4115715026855,9.89431670777932,10443936.0,73.4084890302159,11.3,45.616,38.5713197670229,6.662,26.52,16.656,-4.79832416684926,18790.0,0.0
CZE,2010,101.036407470703,98.6544189453125,64.9327697753906,9.91147732451675,10474410.0,73.3495599222723,11.2,45.066,37.9871685804824,7.281,25.198,18.356,2.71466509907701,19420.0,0.0
CZE,2011,100.081001281738,99.4467315673828,66.7968215942383,10.00102743011892,10496088.0,73.2878338394746,10.4,45.566,38.4526246763602,6.712,24.519,18.077,1.77238085338473,19600.0,0.1
CZE,2012,99.3585815429688,99.7749633789062,66.9287719726562,9.904189076486476,10510785.0,73.2249239592898,10.3,45.935,38.1239873292839,6.979,25.173,19.508,-0.770668190622743,19650.0,0.1
CZE,2013,98.7804794311523,106.875068664551,66.3243179321289,9.916428234558763,10514272.0,73.1622186934979,10.2,46.671,37.5114800223272,6.953,25.578,18.958,-0.0418124160447491,19600.0,0.0
CZE,2014,97.6821594238281,106.118507385254,67.3959732055664,9.905406526029457,10525347.0,73.0995921041469,10.4,47.045,38.0394987622804,6.108,27.118,15.841,2.24521219862635,19080.0,0.0
CZE,2015,96.9615478515625,104.810516357422,67.2303619384766,9.794319729778335,10546059.0,73.0370442874355,10.5,48.075,38.0254708648636,5.048,28.413,12.582,4.95875848915604,18340.0,0.0
CZE,2016,96.9097595214844,103.015083312988,67.5056381225586,9.839160671497723,10566332.0,72.9745753395623,10.7,49.317,38.0713220436503,3.952,28.652,10.488,2.58087013921376,17660.0,0.0
CZE,2017,97.2324905395508,102.204696655273,67.7142181396484,9.948135704318434,10594438.0,72.9121853567256,10.8,50.245,38.0577864830844,2.893,29.163,7.936,5.17356529967881,18350.0,0.0
CZE,2018,98.2727584838867,101.514892578125,66.7902221679688,10.07348063255074,10629928.0,72.8498744351241,10.7,51.082,37.4975612333074,2.246,28.379,6.714,2.83030588267866,20700.0,0.0
CZE,2019,99.2833023071289,100.21556854248,66.8802185058594,10.088418992342875,10671870.0,72.7876426709563,10.5,51.056,37.2499277952791,2.015,28.052,5.615,3.56577658128261,22440.0,0.0
CZE,2020,99.7845306396484,99.3292617797852,67.1843719482422,10.063601483022085,10697858.0,72.7254901604208,10.3,49.943,37.245509028682,2.55,25.14,7.936,-5.30487955463876,22190.0,0.0
CZE,2021,101.677841186523,102.089942932129,69.8369293212891,10.229059956680212,10505772.0,72.6810594374316,10.6,49.789,36.8202889044442,2.803,24.843,8.134,4.02901832055149,25500.0,0.1
CZE,2022,100.97534942627,102.935562133789,70.8145904541016,10.249988747456268,10672118.0,72.6967638379524,,50.746,36.8949808733601,2.224,25.799,6.72,2.8471706583814,27210.0,0.0
CZE,2023,99.699089050293,97.6154174804688,66.7282867431641,10.366013115935042,10864042.0,72.7352388396817,,51.623,36.5052539158177,2.579,25.594,8.507,0.0475803308973752,28540.0,0.0
