Country Code,year,avg_schooling_years,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,population_total,percent_urban,political_stability,log_gdp_pc_current_usd,join_year,treated,post_join,projects,usd_const_2021,log1p_usd_const_2021,share_amount_estimated
FJI,2001,,101.234352111816,74.7156372070312,,849596.0,48.4287914591462,,7.573529934178264,2018.0,1,0,1.0,301744.532089597,12.61733933218768,0.0
FJI,2002,,100.668678283691,76.0836715698242,,858049.0,48.7795139144731,0.473941057920456,7.667423985656335,2018.0,1,0,2.0,332172.778129168,12.713413539057823,0.0
FJI,2003,,100.217338562012,77.7666320800781,14.7718696594238,866286.0,49.1260494882891,0.452653437852859,7.884795159831064,2018.0,1,0,2.0,613069.5451586242,13.32623529012178,0.0
FJI,2004,,100.840873718262,80.5614318847656,14.5726699829102,874366.0,49.4772922157817,0.389960020780563,8.03857366094843,2018.0,1,0,4.0,11350748.24454432,16.244794312448125,0.0
FJI,2005,,,,14.4559001922607,882379.0,49.8421361321385,0.386921286582947,8.125243715133976,2018.0,1,0,1.0,2170233.34961414,14.590345714899469,0.0
FJI,2006,,98.807487487793,79.7871704101562,,890365.0,50.2294752725468,-0.0340580493211746,8.14789780048181,2018.0,1,0,6.0,44536766.51071509,17.611825642187085,0.0
FJI,2007,9.28579,93.939826965332,79.2860107421875,,897832.0,50.6494569776975,0.0618767961859703,8.233170263559938,2018.0,1,0,7.0,4001846.243390778,15.202266623330049,0.0
FJI,2008,,93.6200714111328,79.2769012451172,,903399.0,51.0979752573339,-0.0669486746191978,8.268968295214878,2018.0,1,0,3.0,6098343.6877962,15.623527929661671,0.0
FJI,2009,,93.1077728271484,79.3391189575195,,907239.0,51.5628013169579,-0.272885650396347,8.05995027811623,2018.0,1,0,10.0,111813196.3588651,18.53234015607337,0.0
FJI,2010,,,,,910419.0,52.0415147785104,-0.190827518701553,8.146171401563505,2018.0,1,0,13.0,202897740.86673528,19.12821267544252,0.0
FJI,2011,,94.1014862060547,83.9304962158203,,912989.0,52.5335449475105,-0.0712881982326508,8.328596680878235,2018.0,1,0,13.0,6423935.0846419,15.675541585095026,0.0
