Country Code,year,birth_rate_crude_per_1000
PLW,2002,14.458
PAN,2002,22.917
PNG,2002,33.983
PRY,2002,25.109
PER,2002,22.599
PHL,2002,28.534
POL,2002,9.3
PRT,2002,11.0
PRI,2002,13.7
QAT,2002,17.352
ROU,2002,9.7
RUS,2002,9.7
RWA,2002,41.784
WSM,2002,30.558
SMR,2002,11.935
STP,2002,39.841
SAU,2002,23.767
SEN,2002,38.624
SRB,2002,10.4
SYC,2002,17.7
SLE,2002,44.281
SGP,2002,11.4
SXM,2002,15.176
SVK,2002,9.5
SVN,2002,8.8
SLB,2002,34.841
SOM,2002,50.373
ZAF,2002,20.928
SSD,2002,48.029
ESP,2002,10.1
LKA,2002,19.172
KNA,2002,16.939
LCA,2002,17.328
MAF,2002,25.135
VCT,2002,18.236
SDN,2002,40.439
SUR,2002,24.254
SWE,2002,10.7
CHE,2002,9.9
SYR,2002,30.133
TJK,2002,29.183
TZA,2002,41.171
THA,2002,14.335
TLS,2002,37.998
TGO,2002,37.776
TON,2002,29.549
TTO,2002,14.528
TUN,2002,16.036
TUR,2002,19.531
TKM,2002,22.582
TCA,2002,20.631
TUV,2002,24.464
UGA,2002,47.446
UKR,2002,8.113
ARE,2002,15.779
GBR,2002,11.3
USA,2002,14.0
URY,2002,15.644
UZB,2002,20.901
VUT,2002,31.808
VEN,2002,23.282
VNM,2002,18.095
VIR,2002,15.1
PSE,2002,39.6
YEM,2002,39.579
ZMB,2002,44.332
ZWE,2002,36.539
AFE,2002,40.4187327770083
AFW,2002,43.0233519355738
ARB,2002,28.7348213504792
CSS,2002,18.9073132908463
CEB,2002,9.27703769430054
EAR,2002,26.5614319368417
EAS,2002,14.861903172615
EAP,2002,15.474267945178
TEA,2002,15.4667866666519
EMU,2002,10.3147836441694
ECS,2002,11.5494234746255
ECA,2002,15.6237690674175
TEC,2002,12.6188480749247
EUU,2002,10.1405489889134
FCS,2002,37.5817250056546
HPC,2002,42.5445237342371
HIC,2002,11.4948470539843
