Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominican Republic,DOM,25.557,25.069,24.385,23.738,23.103,22.464,21.86,21.829,22.12,22.344,22.167,21.871,21.522,21.179,20.844,20.538,20.239,20.009,19.848,19.43,18.957,18.571
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ecuador,ECU,25.645,25.142,24.655,24.18,23.73,23.317,22.968,22.604,22.501,22.427,21.887,21.78,20.944,19.656,18.896,18.357,17.622,17.677,17.523,16.924,16.391,15.882
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Egypt, Arab Rep.",EGY,27.392,27.252,27.076,26.866,26.569,26.566,26.562,26.849,26.976,27.209,27.491,27.476,28.117,28.591,28.393,28.184,26.679,26.1,23.592,22.267,22.004,21.154
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,El Salvador,SLV,27.132,25.826,24.406,23.144,22.065,21.373,20.972,20.566,20.045,19.835,19.69,19.618,19.39,19.185,19.014,18.579,17.73,17.122,16.683,16.57,16.303,16.15
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Equatorial Guinea,GNQ,40.795,40.426,40.174,39.991,39.832,39.915,39.682,39.388,39.005,38.548,38.018,37.495,36.773,36.034,35.282,34.531,33.792,33.07,32.4,31.783,31.351,30.703
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eritrea,ERI,37.969,36.353,37.081,35.894,37,36.369,36.179,34.965,34.136,34.213,33.453,33.032,32.41,31.702,31.456,30.554,30.092,29.551,29.195,29.119,28.872,28.818
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Estonia,EST,9.4,9.1,9.4,9.5,10.3,10.6,11,11.8,12,11.8,11.9,11.1,10.6,10.3,10.3,10.6,10.7,10.5,10.9,10.6,9.9,10
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eswatini,SWZ,32.59,32.44,32.247,32.333,32.557,32.535,32.232,32.163,32.28,31.889,30.867,30.402,29.952,29.646,29.02,28.308,27.623,26.926,26.412,25.889,25.39,24.957
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ethiopia,ETH,45.59,44.987,44.264,43.334,42.712,42.104,41.086,40.054,38.886,37.538,36.571,35.671,34.563,33.644,33.408,33.331,33.329,33.222,33.394,33.549,33.31,32.876
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Faroe Islands,FRO,15.3,13.7,15.1,14.8,14.8,14.7,13.8,14,13.8,12.7,13.2,12,12.8,13,13.3,12.5,13.8,13.2,13.6,13.3,13.1,13
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Fiji,FJI,24.328,24.272,24.339,24.265,24.128,24.003,23.964,23.716,23.293,22.839,22.328,21.76,21.583,21.495,21.291,20.998,20.55,20.029,19.601,19.226,18.828,18.55
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Finland,FIN,11,10.8,10.7,10.9,11,11,11.2,11.1,11.2,11.3,11.4,11.1,11,10.7,10.5,10.1,9.6,9.1,8.6,8.3,8.4,9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,France,FRA,13.3,13.1,12.9,12.8,12.8,12.8,13.1,12.8,12.9,12.8,12.9,12.7,12.6,12.4,12.4,12,11.8,11.5,11.3,11.2,10.9,10.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,French Polynesia,PYF,21.396,20.782,19.973,18.605,18.075,17.925,18.184,17.391,18.028,17.662,17.823,16.92,16.532,15.713,15.799,15.001,13.999,13.146,12.812,11.938,11.782,11.424
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Gabon,GAB,33.429,33.228,33.076,32.869,32.748,32.682,32.612,32.585,32.617,32.869,33.031,33.011,32.49,31.919,31.384,31.085,30.983,30.774,30.537,30.146,29.541,28.938
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Gambia, The",GMB,41.055,40.517,40.027,39.728,39.709,39.686,39.884,39.537,39.151,38.941,38.872,38.808,38.814,38.097,36.907,35.746,34.593,33.451,32.324,31.921,31.525,31.171
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Georgia,GEO,12.452,12.248,12.206,12.132,12.326,12.563,12.906,13.591,14.697,15.939,15.638,14.987,14.856,15.065,16.09,16.021,15.818,14.905,14.334,13.588,13.053,12.881
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Germany,DEU,9.3,8.9,8.7,8.6,8.6,8.3,8.2,8.3,8.3,8.1,8.3,8.3,8.4,8.5,8.8,9,9.6,9.5,9.5,9.4,9.3,9.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ghana,GHA,35.898,35.62,35.223,34.779,34.282,34.403,33.877,33.223,32.789,32.585,32.672,32.685,32.519,32.219,31.547,31.114,30.172,28.926,28.388,27.891,27.43,27.034
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Gibraltar,GIB,14.723,14.107,11.162,10.776,11.086,11.462,11.733,12.024,12.322,12.428,12.551,12.629,12.734,13.284,13.127,12.993,12.042,12.023,12,11.975,11.984,12
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Greece,GRC,9.6,9.4,9.5,9.6,9.6,9.8,10.2,10.1,10.7,10.6,10.3,9.6,9.1,8.6,8.5,8.5,8.6,8.2,8.1,7.8,7.9,8.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Greenland,GRL,15.6,16.7,16.9,15.5,15.7,15.6,14.8,15.1,14.8,15.9,15.4,14.4,13.8,14.5,14.3,15.2,14.8,15.2,14.6,15.1,14.8,13.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Grenada,GRD,17.503,17.283,17.207,17.143,17.07,17.02,16.903,16.802,16.674,16.505,16.263,16.012,15.78,15.401,14.529,13.855,13.052,11.645,12.395,12.466,12.324,12.14
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guam,GUM,23.039,21.96,19.807,20.092,20.678,19.442,20.461,20.961,20.771,20.497,20.939,20.152,21.7,19.939,20.228,19.936,21.377,20.622,19.818,19.256,18.613,18.296
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guatemala,GTM,34.708,34.156,33.267,32.47,31.726,30.777,30.024,29.422,28.678,28.199,27.821,27.516,27.231,26.716,26.467,26.222,25.957,25.171,24.315,23.089,22.043,21.407
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea,GIN,41.833,41.318,40.56,40.284,40.244,40.411,40.307,40.207,40.08,39.928,39.635,39.165,38.7,38.379,38.046,37.767,37.414,36.891,36.329,35.952,35.518,34.983
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea-Bissau,GNB,42.346,41.794,41.564,41.296,40.801,40.571,40.253,40.016,39.348,38.748,38.308,38.019,37.577,37.082,36.096,35.199,34.217,33.036,32.374,31.848,31.406,30.969
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guyana,GUY,26.231,25.039,23.763,22.703,22.02,21.664,21.72,21.887,22.028,22.055,22.058,22.252,22.318,22.562,22.606,22.516,22.332,22.044,21.236,21.945,21.254,20.961
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Haiti,HTI,32.153,31.278,30.572,30.164,29.642,29.158,28.881,28.55,28.283,28.061,27.72,27.356,26.685,26.065,25.751,25.444,25.102,24.645,24.222,23.774,23.338,22.919
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Honduras,HND,34.175,33.357,32.375,31.355,30.487,29.613,28.743,28.114,27.525,26.96,26.316,25.776,25.306,24.803,24.388,24.084,23.804,23.504,23.392,23.111,22.803,22.529
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Hong Kong SAR, China",HKG,8.1,7.2,7.1,6.9,7.2,8.4,9.6,10.2,11.3,11.8,12.6,13.5,12.8,8,8.6,8.2,8.3,7.6,7.2,7,5.8,5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Hungary,HUN,9.6,9.5,9.5,9.3,9.4,9.7,9.9,9.7,9.9,9.6,9,8.8,9.1,9.1,9.5,9.4,9.8,9.7,9.6,9.6,9.7,9.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Iceland,ISL,15.3,14.4,14.1,14.3,14.5,14.4,14.5,14.6,15.2,15.8,15.4,14.1,14.1,13.4,13.4,12.5,12,11.9,12,12.3,12.3,13.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,India,IND,27.518,27.206,26.538,25.783,25.121,24.304,23.564,22.932,22.506,22.211,21.633,21.156,20.672,20.061,19.089,18.936,18.756,17.995,17.91,17.368,16.744,16.491
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Indonesia,IDN,21.688,21.386,21.107,20.834,20.796,21.018,20.943,20.968,20.511,20.375,20.362,20.611,20.41,19.643,19.091,18.569,18.138,17.54,17.146,16.909,16.674,16.417
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Iran, Islamic Rep.",IRN,15.966,15.935,15.947,15.878,16.176,16.385,16.725,16.971,17.095,17.157,17.276,17.673,18.138,18.531,18.828,18.879,18.787,18.045,16.664,14.918,14.008,13.687
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Iraq,IRQ,36.107,35.547,34.791,34.524,34.344,33.944,34.964,34.503,33.649,33.928,34.604,35.493,34.833,34.14,33.329,31.562,29.816,28.304,27.664,27.252,26.84,26.448
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ireland,IRL,14.4,15,15.4,15.4,15.2,14.8,15.3,16.2,16.7,16.7,16.5,16.2,15.6,14.9,14.4,13.9,13.4,12.8,12.5,11.9,11.1,11.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Isle of Man,IMN,12.487,12.39,12.164,11.818,11.543,11.598,11.674,11.664,11.626,11.486,11.312,11.095,10.763,10.418,10.113,9.769,9.436,9.193,8.995,8.826,8.683,8.54
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Israel,ISR,21.7,21.2,21.2,21.7,21.3,20.8,21,21.1,21.5,21.5,21.8,21.4,21.6,21.3,21.5,21.3,21.2,21.1,20.8,20.1,19.2,19.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Italy,ITA,9.5,9.4,9.4,9.5,9.7,9.5,9.6,9.6,9.7,9.6,9.4,9.1,8.9,8.5,8.3,8.1,7.9,7.6,7.3,7,6.8,6.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Jamaica,JAM,20.131,19.675,19.43,19.189,18.795,18.357,17.85,17.308,16.734,16.161,15.555,14.93,14.409,13.979,13.62,13.318,12.941,12.593,12.305,12.169,12.016,11.954
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Japan,JPN,9.5,9.3,9.2,8.9,8.8,8.4,8.7,8.6,8.7,8.5,8.5,8.3,8.2,8.2,8,8,7.8,7.6,7.4,7,6.8,6.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Jordan,JOR,29.054,28.516,28.479,28.475,27.743,27.156,26.457,28.189,28.707,28.568,28.07,27.398,26.895,24.926,24.324,23.653,23.748,23.217,22.677,22.236,21.726,21.309
