Series Name,Series Code,Country Name,Country Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Cabo Verde,CPV,..,25.3145904541016,..,..,..,..,..,..,66.4298477172852,69.4299468994141,72.023063659668,72.0146408081055,76.0318069458008,89.9302597045898,89.594841003418,88.2079620361328,89.8743209838867,92.7251093032265,95.5805200729927,99.6213363546916,103.923782348633,104.643058776855,105.428949752596,107.346835625835,108.513703183866,104.00895690918,103.593505622998,106.038487060385,104.706914193831,103.582593697222,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Cambodia,KHM,..,..,..,..,..,11.7400102615356,11.4472999572754,12.7743301391602,14.5757503509522,17.9505195617676,21.7320804595947,25.3631000518799,..,34.3806800842285,37.6149711608887,40.8487091064453,..,..,..,..,..,..,..,..,51.2054747282757,53.0927446861047,53.3177080845995,54.5285415649414,59.1888520896695,59.850293235261,60.3343523907692,63.098667348683,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Cameroon,CMR,..,..,21.2405796051025,..,21.7688694000244,21.3220100402832,24.5069007873535,..,29.9767608642578,22.2719993591309,28.0853691101074,24.1630897521973,24.6076393127441,21.4851398468018,29.0990791320801,33.4918212890625,37.8445510864258,..,45.500515576506,48.7718363160742,50.4201711277728,54.1409312621764,55.5473133749889,56.4790090222202,..,..,..,..,42.6115884063623,43.2072311629303,42.4944197803389,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Canada,CAN,..,..,..,..,..,..,..,103.028327941895,..,..,..,..,99.006706237793,99.2596435546875,99.9474716186523,100.854469299316,101.66227722168,101.41626739502,102.087600708008,111.17195892334,111.877288818359,112.173736572266,112.104141235352,111.972282409668,112.20565032959,112.037117004395,111.364883422852,110.553207397461,109.483619689941,108.366371154785,104.423652648926,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Cayman Islands,CYM,..,..,..,..,..,..,86.1754989624023,92.0926513671875,82.9303970336914,81.3360900878906,..,88.0128173828125,83.8930282592773,85.9129409790039,89.0017929077148,99.2827301025391,..,..,93.3884297520661,91.0924369747899,91.1194833153929,..,..,..,..,87.5760649087221,85.8134918212891,84.5747222900391,84.5653184565318,84.132682800293,86.5183246073298,84.3549078439777,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Central African Republic,CAF,..,..,..,..,..,..,..,..,7.64059019088745,..,..,..,..,..,..,..,8.72708988189697,..,11.4032897949219,10.7241497039795,..,..,..,11.0433397293091,12.7931003570557,..,..,..,..,..,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Chad,TCD,..,2.5650200843811,3.09779000282288,3.3255500793457,3.55557990074158,3.96388006210327,4.2365198135376,4.86319017410278,5.92101001739502,6.716139793396,7.23851013183594,7.58640003204346,7.99178981781006,8.39060974121094,11.3585796356201,12.1731004714966,13.3485803604126,13.3503582919367,13.9537990672367,13.9380247654593,15.5360282192823,14.2828502655029,13.880263310419,14.2798381653045,14.0123630025093,13.9039225599097,14.1967132658225,..,17.2672329408201,..,19.2402040168684,19.4390107130432,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Chile,CHL,..,..,..,..,..,..,..,87.8805084228516,..,90.2218780517578,91.2260513305664,91.6760330200195,92.6120986938477,92.9499893188477,92.7402114868164,92.7565612792969,91.1818389892578,92.4085998535156,92.4001922607422,91.1228790283203,99.6723937988281,100.32071685791,101.253883361816,101.831230163574,102.539222717285,103.21607208252,104.032539367676,103.239501953125,106.125999450684,105.129852294922,104.630210876465,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,China,CHN,41.0461883544922,42.6948699951172,45.0352096557617,48.8119888305664,51.3040390014648,..,..,..,60.5879211425781,..,62.8477210998535,..,..,74.5925979614258,79.0239715576172,84.1128692626953,90.3999099731445,91.5306159985424,93.0778922934558,93.6776786470658,..,..,..,..,..,..,..,..,..,..,..,..,..
