Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Rep.",COG,1121663,1146125,1180982,1237677,1294826,1326298,1366485,1419604,1477494,1539544,1601048,1654680,1725290,1800569,1854917,1899642,1936631,1975476,2016975,2062331,2112071,2165299,2221302,2175569,2257465,2408846,2481698,2558880,2641346
"Labor force, total",SL.TLF.TOTL.IN,Costa Rica,CRI,1441542,1526529,1573058,1596716,1679060,1710423,1762605,1771024,1888687,1911390,1978866,2003972,2030924,2027352,2114264,2283817,2299128,2357268,2344336,2262369,2300637,2422784,2534006,2419333,2491035,2504874,2340628,2402966,2427166
"Labor force, total",SL.TLF.TOTL.IN,Cote d'Ivoire,CIV,5627257,5858115,6073240,6253233,6429804,6605404,6779544,6954406,7133415,7317090,7505748,7771201,8106769,8433828,8749188,9048653,9300688,9534174,9764168,10013267,10180365,10349949,10522774,10849289,11390094,11906614,12285672,12671518,13067763
"Labor force, total",SL.TLF.TOTL.IN,Croatia,HRV,2018865,2004029,1983687,1953924,1869944,1859183,1865695,1912837,1910033,1894312,1924883,1934423,1932994,1911488,1880089,1859596,1830788,1870242,1864017,1794702,1774192,1735734,1716971,1706748,1728310,1734995,1731788,1742356,1728075
"Labor force, total",SL.TLF.TOTL.IN,Cuba,CUB,4559835,4601430,4651037,4697933,4738313,4773419,4810512,4850406,4898212,4944666,4981194,5010521,5142082,5096065,5121797,5148474,5174923,5195184,5217686,5229123,5231805,5224481,5204593,4943318,4945430,5005156,4949822,4895340,4855941
"Labor force, total",SL.TLF.TOTL.IN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cyprus,CYP,414925,424717,434538,444571,467154,477404,498316,512182,525197,538627,556863,569349,583119,600971,610147,623910,635175,651925,657397,663048,678816,698503,715150,719491,735675,755975,767136,765938,770268
"Labor force, total",SL.TLF.TOTL.IN,Czechia,CZE,5184785,5198829,5218700,5175714,5146214,5141940,5134951,5133307,5175001,5192187,5188860,5203709,5244400,5230927,5223171,5253910,5300303,5296601,5305064,5344644,5370664,5405110,5394887,5343016,5242069,5369986,5536510,5593139,5513783
"Labor force, total",SL.TLF.TOTL.IN,Denmark,DNK,2851413,2837498,2873210,2861618,2851668,2881404,2877534,2901221,2902668,2933792,2931561,2924360,2914657,2893686,2892968,2877238,2854299,2869233,2899972,2943425,2970148,2992952,3034322,3032944,3076617,3147518,3189737,3277500,3287645
"Labor force, total",SL.TLF.TOTL.IN,Djibouti,DJI,135702,142357,148244,153611,159154,164728,168680,171328,174207,178121,182681,187172,191812,196416,200952,205479,210033,214643,219291,223972,228680,233398,238047,240671,247690,252945,258002,263018,267610
