Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Congo, Rep.",COG,28.007,28.01,27.564,27.054,26.407,26.514,26.144,25.775,25.497,25.329,24.826,24.741,24.639,24.89,24.962,25.204,25.288,25.702,25.684,25.604,25.297,25.186,25.356,21.718,22.944,25.6,25.734,25.716,25.75
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Costa Rica,CRI,44.814,47.24,44.286,44.724,44.294,42.549,43.005,40.73,41.435,42.438,45.725,43.582,38.669,36.889,34.005,37.391,37.445,36.527,35.501,33.38,33.791,34.187,31.176,26.31,27.61,29.77,28.704,30.917,31.004
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Cote d'Ivoire,CIV,49.018,48.682,48.438,48.149,47.888,47.651,47.403,47.28,47.141,47.055,46.845,46.711,46.532,46.422,46.074,45.936,47.087,47.167,47.107,47.038,44.114,43.005,41.902,38.868,37.001,35.582,35.507,35.403,35.083
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Croatia,HRV,30.584,28.717,26.457,24.003,24.632,25.66,24.563,26.883,25.682,25.425,27.452,27.958,27.145,24.252,20.56,17.245,14.575,17.769,19.02,25.539,26.002,25.825,27.914,26.04,26.044,27.954,25.368,25.764,25.73
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Cuba,CUB,34.213,34.55,34.184,34.505,35.4,36.041,36.846,37.178,36.988,36.911,36.96,37.131,39.963,39.173,38.367,37.911,37.898,38.328,38.33,38.596,38.742,38.687,38.685,35.651,36.524,37.611,37.389,37.093,37.137
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Cyprus,CYP,42.083,40.881,37.928,37.026,39.174,36.959,37.801,37.922,37.497,37.93,38.02,38.387,35.29,34.217,30.91,28.901,24.047,26.094,25.547,26.375,27.431,31.17,32.306,31.456,34.864,34.478,35.305,35.457,35.547
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Czechia,CZE,44.285,42.948,40.061,38.274,35.987,33.666,31.44,28.547,27.356,27.686,28.496,28.057,26.52,25.198,24.519,25.173,25.578,27.118,28.413,28.652,29.163,28.379,28.052,25.14,24.843,25.799,25.594,24.535,24.393
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Denmark,DNK,68.095,66.426,66.216,67.172,61.689,63.99,59.43,61.319,62.286,64.565,65.319,62.539,58.738,54.022,53.027,51.368,49.534,49.997,51.349,52.303,52.902,53.75,54.99,53.187,53.879,56.167,57.051,60.991,60.966
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Djibouti,DJI,8.48,7.985,7.687,7.387,7.101,6.815,6.707,6.649,6.528,6.354,6.141,5.933,5.626,5.379,5.177,5.011,4.799,4.56,4.354,4.136,3.859,3.579,3.331,2.457,2.834,3.176,3.192,3.167,3.119
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Dominican Republic,DOM,40.392,40.123,39.876,39.624,37.829,38.332,35.643,36.391,35.61,36.66,36.437,37.57,32.751,34.402,34.875,35.078,33.902,35.416,36.813,37.249,37.749,38.047,38.282,33.396,37.853,39.921,42.115,41.793,42.296
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Ecuador,ECU,43.266,47.578,47.123,46.762,47.668,47.443,47.008,48.512,48.347,50.027,47.325,46.122,42.952,40.537,38.03,39.332,37.676,36.509,38.992,40.16,41.398,40.479,40.098,35.322,41.759,42.041,39.979,40.851,41.07
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Egypt, Arab Rep.",EGY,23.927,23.361,27.201,23.436,20.569,22.234,21.983,22.98,22.707,23.601,25.278,26.485,26.493,26.224,23.651,22.029,22.735,22.95,21.18,20.882,19.603,18.062,18.103,18.562,19.716,18.901,19.483,19.33,18.907
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,El Salvador,SLV,40.17,44.805,43.183,42.394,41.217,40.742,42.905,41.33,41.361,42.33,41.744,40.975,38.584,39.157,39.756,40.299,39.739,38.577,38.333,38.625,38.911,38.749,39.717,36.292,39.032,40.407,39.637,39.523,39.406
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Equatorial Guinea,GNQ,32.291,32.264,32.098,31.705,30.946,30.058,29.103,28.252,27.579,27.186,26.82,26.551,26.184,25.846,25.779,25.828,25.894,25.928,25.878,25.869,25.811,25.765,25.53,22.534,23.245,25.503,25.759,25.717,25.612
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Eritrea,ERI,65.46,66.135,66.555,66.848,66.447,65.829,64.994,64.357,64.298,64.588,64.779,64.521,64.049,63.702,63.505,63.425,63.354,63.434,63.473,63.469,63.277,62.91,62.239,60.548,60.945,61.773,61.819,61.663,61.481
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Estonia,EST,36.261,34.978,28.993,29.576,27.52,25.478,28.998,29.738,30.781,31.443,34.148,35.971,28.375,25.357,31.1,32.328,32.384,33.366,35.05,36.435,38.693,40.66,38.402,34.261,33.591,36.52,36.051,35.229,35.198
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Eswatini,SWZ,21.311,20.011,18.766,17.613,16.586,15.773,15.092,14.515,13.981,13.518,12.947,12.816,12.679,12.682,12.775,12.97,13.081,13.137,13.114,13.208,13.063,12.835,12.648,10.858,11.822,11.397,12.626,12.553,12.591
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Ethiopia,ETH,71.546,71.575,71.585,71.988,72.398,72.538,72.568,72.691,72.811,72.85,72.768,72.695,72.614,72.556,72.491,72.418,72.33,69.397,66.547,63.738,60.996,58.327,55.776,52.449,50.852,51.207,51.105,51.024,50.966
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Fiji,FJI,38.749,37.952,37.212,36.433,35.652,34.812,34.055,33.306,33.301,33.37,33.371,33.415,33.416,33.482,33.527,33.213,32.888,32.577,33.077,33.514,32.978,32.584,32.586,29.442,30.291,33.213,33.141,33.049,33.022
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Finland,FIN,31.471,32.707,36.111,37.339,39.492,39.752,41.208,42.676,44.108,45.147,44.47,44.708,39.683,38.747,40.53,41.744,41.533,41.197,40.611,41.699,42.41,43.883,44.221,40.954,43.877,46.295,45.887,43.321,41.815
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,France,FRA,24.284,25.208,26.559,28.261,29.38,29.956,30.795,29.508,26.838,26.486,27.843,28.068,27.062,26.773,26.176,25.062,26.733,25.859,26.094,26.225,27.103,28.224,27.954,26.975,30.694,33.09,33.597,34.614,34.476
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,French Polynesia,PYF,28.59,28.226,27.901,27.625,27.176,26.78,26.254,25.848,25.346,24.78,24.26,24.693,24.942,25.195,25.473,25.983,25.966,25.96,25.835,25.631,25.339,25.105,24.818,22.444,23.545,24.323,24.228,23.938,23.899
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Gabon,GAB,14.502,14.453,14.185,13.995,13.898,13.934,13.873,13.721,13.626,13.129,12.793,12.337,12.044,11.778,11.76,11.685,11.534,11.392,11.307,11.242,11.213,11.21,11.266,9.684,10.196,11.314,11.339,11.332,11.339
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Gambia, The",GMB,28.061,28.116,28.179,28.173,28.179,27.992,27.965,27.928,27.868,27.681,27.544,27.595,27.619,27.583,27.294,27.218,27.529,27.961,28.284,28.601,28.971,29.287,28.983,28.138,27.926,27.892,27.565,27.427,27.392
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Georgia,GEO,54.464,50.072,50.113,51.612,50.994,45.998,45.551,43.041,41.09,39.079,36.643,32.867,29.888,30.179,28.914,29.779,27.945,28.897,29.293,29.352,31.699,28.44,26.638,26.893,24.883,27.094,27.364,27.539,27.226
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Germany,DEU,44.398,45.142,46.312,46.127,46.477,45.393,44.03,41.301,41.996,43.961,45.312,46.546,46.05,46.138,47.087,46.435,47.018,46.26,45.355,45.711,46.614,47.155,48.365,46.9,49.271,50.23,50.873,50.922,50.875
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Ghana,GHA,44.887,44.228,42.517,42.039,42.363,42.716,43.11,43.494,43.864,44.226,43.765,43.421,42.943,42.612,43.473,44.273,44.969,41.086,37.24,37.117,37.126,35.523,33.919,31.834,30.954,29.896,29.834,29.761,29.13
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Greece,GRC,24.275,27.408,27.361,27.574,26.193,26.395,25.134,26.674,24.883,24.095,23.867,23.481,22.802,20.117,16.077,13.022,11.87,13.25,12.985,12.967,14.111,13.916,14.553,13.924,13.442,16.15,18.351,18.546,18.741
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Guam,GUM,39.441,40.458,32.156,29.534,30.875,31.82,34.993,38.547,43.104,42.936,35.821,35.207,34.635,36.492,31.419,32.805,33.373,37.345,37.971,39.516,39.343,39.322,39.042,35.29,36.426,39.577,39.628,39.371,38.989
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Guatemala,GTM,59.986,59.847,59.79,59.701,59.639,59.546,60.162,52.162,51.519,50.978,50.438,49.802,49.037,48.319,50.603,55.248,47.094,48.667,49.318,49.583,49.88,49.955,49.121,47.777,52.931,48.368,49.312,49.205,49.14
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Guinea,GIN,42.425,42.98,43.216,43.54,44.202,44.587,43.295,42.011,40.726,39.473,38.272,37.053,35.82,34.607,33.44,32.334,31.187,30.055,28.881,27.797,26.739,25.681,24.601,23.997,24.382,24.415,24.363,24.3,24.122
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Guinea-Bissau,GNB,54.816,54.459,54.292,54.031,53.955,53.646,53.424,53.181,53.002,52.859,52.701,52.497,52.275,52.056,51.843,51.585,51.319,50.997,50.711,50.344,49.916,49.389,55.899,51.251,47.427,43.723,43.574,43.415,43.692
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Guyana,GUY,37.611,37.464,37.353,37.194,37.26,37.221,37.558,37.864,38.145,38.587,38.527,38.447,38.293,38.121,38.066,37.977,37.853,37.673,37.458,37.31,37.18,37.147,32.957,29.416,30.716,35.937,36.713,37.276,37.102
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Haiti,HTI,31.113,29.991,28.972,26.978,26.281,25.569,24.928,24.192,23.515,22.374,21.366,21.808,22.272,22.717,23.156,23.567,23.673,23.502,23.469,23.326,23.21,23.144,23.11,21.375,22.044,22.096,21.903,21.452,21.184
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Honduras,HND,55.318,54.576,54.96,53.995,52.922,51.893,49.719,48.063,48.101,46.719,45.662,46.715,47.41,47.594,45.866,44.759,47.953,47.411,48.556,46.666,49.065,51.527,48.003,44.74,48.365,46.807,44.946,46.107,46.003
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Hong Kong SAR, China",HKG,46.941,44.154,40.802,40.51,39.897,38.226,37.844,38.957,39.188,38.468,38.912,37.247,34.328,31.699,33.028,33.551,35.225,34.98,36.067,36.749,36.432,36.561,36.421,30.395,30.416,28.423,27.871,26.672,26.826
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Hungary,HUN,23.027,23.147,23.735,23.393,23.575,23.045,22.397,21.717,20.193,20.056,20.337,19.917,18.551,18.623,18.367,18.709,20.484,23.873,26.045,28.6,29.602,29.721,28.589,27.451,26.759,27.098,27.578,27.159,27.534
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Iceland,ISL,60.761,67.236,68.829,74.074,76.03,66.977,70.84,70.2,70.75,72.422,74.53,72.02,61.833,61.984,62.741,65.718,69.928,70.703,73.297,77.783,76.065,75.578,71.942,65.673,65.799,71.38,71.995,74.966,75.022
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,India,IND,38.062,38.407,38.784,39.139,38.423,37.648,36.985,36.297,35.607,34.06,32.52,30.944,29.444,27.982,26.882,25.756,25.283,24.775,24.193,23.592,22.945,22.259,22.572,21.511,22.911,24.368,25.7,26.308,26.204
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Indonesia,IDN,43.088,41.86,41.656,41.882,41.02,39.326,38.712,38.508,35.094,36.661,39.01,39.67,38.872,38.79,38.167,40.536,39.539,38.55,38.327,38.863,39.685,39.815,41.562,40.122,38.578,38.925,40.194,39.971,40.033
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Iran, Islamic Rep.",IRN,25.378,25.238,25.038,24.992,24.873,24.87,26.062,27.283,26.672,25.396,24.495,22.291,22.277,20.668,19.433,20.035,19.822,18.554,18.556,18.725,19.819,19.734,19.274,17.019,16.598,17.215,18.024,17.836,17.61
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Iraq,IRQ,30.465,30.132,29.737,29.267,28.722,28.103,27.511,27.214,26.874,26.546,26.033,25.87,25.646,25.468,25.255,25.114,25.014,24.845,23.628,22.575,20.459,19.508,18.45,17.711,17.131,18.409,18.738,18.527,18.389
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Ireland,IRL,66.93,70.493,70.382,71.453,70.306,66.645,66.21,64.303,65.555,64.591,63.019,57.078,45.342,38.692,36.173,34.794,36.553,36.803,37.827,41.987,39.962,40.291,41.199,37.014,43.728,46.627,51.303,48.01,48.016
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Israel,ISR,50.316,47.525,47.491,48.243,46.693,42.292,41.587,43.2,45.81,45.874,46.542,47.233,44.983,45.192,44.471,46.167,47.049,47.052,46.998,46.921,47.463,46.38,45.514,41.494,42.248,44.19,45.56,45.481,45.476
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Italy,ITA,25.122,25.508,25.611,26.155,26.254,25.741,25.342,27.809,25.719,25.3,24.541,24.221,21.53,20.244,19.207,18.476,16.279,15.564,15.633,16.568,17.105,17.628,18.409,16.776,17.553,19.83,20.393,19.71,19.569
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Jamaica,JAM,40.19,39.215,37.396,36.15,34.967,34.319,33.714,32.974,32.68,32.397,32.136,31.831,28.024,24.725,26.491,23.739,23.648,24.173,25.233,27.374,28.576,28.12,30.012,27.533,28.78,31.357,33.848,33.556,33.444
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Japan,JPN,45.345,44.593,42.862,42.673,41.771,40.843,40.142,39.785,40.661,41.144,41.167,41.196,39.532,38.956,39.08,38.082,39.578,40.251,40.571,42.506,42.539,45.653,47.15,46.274,46.237,46.46,47.839,48.799,49.163
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Jordan,JOR,21.679,21.481,21.39,21.283,20.441,19.917,20.409,20.006,19.581,20.087,20.443,20.57,20.259,20.552,20.247,20.697,20.499,21.177,20.273,18.857,18.823,16.11,16.128,14.262,13.362,13.913,15.667,15.435,15.428
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Kazakhstan,KAZ,43.275,43.063,42.25,41.817,42.527,42.563,43.309,42.497,42.63,42.809,43.112,43.451,43.789,43.931,43.703,43.709,43.346,43.171,43.234,43.255,43.068,42.88,42.66,41.848,41.935,42.839,42.989,43.104,43.121
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Kenya,KEN,46.624,46.148,45.603,45.381,45.165,44.905,44.723,44.519,44.389,44.219,44.014,43.674,43.375,43.158,43.007,42.789,42.472,42.232,42.004,41.78,38.694,35.749,32.929,31.601,31.752,30.844,30.848,30.058,30.007
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Korea, Dem. People's Rep.",PRK,73.135,72.763,72.079,72.132,71.929,71.95,71.855,71.849,71.738,71.876,72.042,72.036,72.096,72.24,72.074,72.093,71.979,71.999,71.993,71.553,71.907,72.289,72.422,70.355,71.01,72.535,72.518,72.374,72.292
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Korea, Rep.",KOR,31.644,26.726,27.253,27.463,28.452,29.538,28.94,29.277,27.716,25.521,23.734,21.497,20.487,20.731,21.401,22.213,22.429,24.044,25.076,25.137,25.034,24.188,24.618,23.332,25.021,26.68,25.492,24.159,24.09
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Kuwait,KWT,32.564,32.695,32.719,32.521,32.404,31.844,31.368,30.011,29.579,29.126,28.166,27.254,26.822,25.863,24.861,23.918,23.025,22.156,21.626,21.549,21.955,22.084,22.109,19.486,20.087,21.45,21.64,21.717,21.813
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Kyrgyz Republic,KGZ,53.535,53.261,52.557,51.318,50.074,50.187,48.57,47.031,47.234,46.609,44.719,42.934,42.463,42.757,42.279,38.397,39.699,37.288,36.121,34.861,32.415,34.254,31.224,30.988,31.92,31.768,28.456,28.74,28.372
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Lao PDR,LAO,57.99,57.879,57.503,57.238,57.025,56.734,56.446,56.121,55.729,55.184,54.712,54.203,53.707,53.117,52.196,51.278,50.351,49.465,48.623,47.596,46.591,47.68,48.837,49.724,51.673,53.336,53.116,52.876,52.871
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Latvia,LVA,33.459,32.939,32.364,30.268,28.36,28.293,30.934,28.914,32.285,35.331,38.135,37.016,27.458,25.347,25.836,28.679,30.221,32.509,34.553,32.839,33.011,33.127,31.793,29.663,27.877,30.621,30.632,29.832,29.916
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Lebanon,LBN,25.455,25.306,25.086,25.046,24.961,24.931,24.858,24.735,24.5,24.244,24.05,25.608,27.202,27.525,27.751,27.969,28.224,28.565,28.842,29.123,29.434,29.75,30.067,28.604,27.643,26.423,26.516,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Lesotho,LSO,52.049,51.228,50.226,49.189,48.199,47.128,46.055,44.878,43.84,42.691,41.624,40.527,39.195,38.055,36.857,35.892,34.629,33.192,31.772,30.506,29.113,27.765,26.449,25.182,25.804,26.389,26.427,26.342,26.089
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Liberia,LBR,56.76,56.675,56.573,56.45,56.304,56.179,56.067,56.089,56.166,56.346,56.506,56.507,56.434,56.385,55.989,55.779,56.151,56.393,56.051,55.631,55.431,55.163,54.795,53.459,53.819,54.446,54.305,54.159,54.042
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Libya,LBY,10.09,9.992,9.881,9.791,9.751,9.675,9.673,9.641,9.653,9.501,9.393,9.196,9.014,8.904,8.745,8.821,8.672,8.629,8.455,8.461,8.6,8.642,8.55,7.157,7.595,8.346,8.451,8.269,8.356
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Lithuania,LTU,33.495,33.007,32.112,26.661,22.627,25.288,23.597,20.579,21.223,23.664,24.791,26.014,20.64,18.27,18.987,21.477,24.617,27.631,28.318,30.246,30.405,32.434,32.904,29.444,31.109,31.994,30.866,31.752,31.845
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Luxembourg,LUX,34.668,33.052,31.658,31.861,32.303,32.317,27.055,23.308,24.943,24.311,24.687,23.888,27.44,22.88,20.619,22.598,22.057,20.85,29.304,23.762,26.036,28.431,28.764,24.87,29.443,27.547,28.986,29.233,29.596
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,"Macao SAR, China",MAC,42.988,39.197,37.763,37.763,36.17,33.793,27.039,28.476,32.431,35.406,41.426,43.414,44.352,44.214,44.451,42.695,43.67,43.206,41.474,40.303,40.614,41.444,41.836,39.89,40.658,40.391,40.993,41.125,41.15
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Madagascar,MDG,67.267,67.353,67.441,67.458,67.907,68.019,68.545,70.091,71.68,71.566,71.444,71.284,70.954,70.5,71.788,73.558,73.114,72.68,72.234,71.497,70.797,70.14,69.523,67.861,68.002,68.574,68.607,68.495,68.608
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Malawi,MWI,64.45,64.371,64.327,64.207,64.023,63.963,63.965,64.059,64.086,62.747,61.441,60.104,58.73,57.261,55.773,54.051,52.366,50.69,49.004,47.275,45.558,44.993,44.385,52.409,43.995,43.864,43.687,43.487,43.003
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Malaysia,MYS,41.506,40.259,39.711,40.073,39.103,39.02,38.705,38.574,38.389,38.456,38.205,38.056,37.559,37.501,37.752,38.119,38.65,39.284,38.17,38.475,38.334,38.992,40.825,37.724,43.118,40.566,40.248,39.846,40.052
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Maldives,MDV,36.947,37.069,37.191,37.311,36.698,36.095,35.504,34.913,34.228,33.622,32.99,32.401,31.498,32.692,33.879,35.122,36.342,37.625,39.049,40.567,42.243,43.954,45.664,39.616,41.008,45.015,44.688,43.833,43.616
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Mali,MLI,56.843,56.708,56.506,56.308,56.189,56.041,56.025,55.952,56.08,56.218,56.399,56.596,56.824,57.127,57.422,57.839,58.173,58.314,58.668,58.138,57.522,54.908,51.027,47.215,50.768,51.468,51.009,50.897,50.673
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Malta,MLT,54.169,54.179,53.61,52.377,52.927,51.072,49.498,45.123,44.976,44.85,46.799,46.588,44.079,44.193,44.997,44.563,46.704,46.712,45.623,46.215,47.309,49.389,48.889,46.765,47.079,50.902,50.316,50.839,51.249
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Mauritania,MRT,21.608,21.44,21.241,21.017,20.904,20.918,21.017,21.076,21.15,21.257,21.233,21.039,20.685,20.641,20.726,20.906,19.928,18.973,18.057,17.137,16.291,15.97,15.628,14.901,15.181,15.494,15.5,15.49,15.457
